Local time,Open,High,Low,Close,Volume
20.10.2006 20:55:00.000 GMT+0530,1.26049,1.26093,1.26033,1.26084,0.005193000000000003
20.10.2006 21:00:00.000 GMT+0530,1.26081,1.26156,1.26079,1.26123,0.0037263000000000014
20.10.2006 21:05:00.000 GMT+0530,1.26102,1.26130,1.26073,1.26110,0.003951500000000003
20.10.2006 21:10:00.000 GMT+0530,1.26108,1.26124,1.26080,1.26104,0.004006700000000001
20.10.2006 21:15:00.000 GMT+0530,1.26109,1.26140,1.26080,1.26123,0.0036861000000000016
20.10.2006 21:20:00.000 GMT+0530,1.26125,1.26140,1.26088,1.26088,0.004200699999999999
20.10.2006 21:25:00.000 GMT+0530,1.26084,1.26124,1.26081,1.26107,0.0038401999999999998
20.10.2006 21:30:00.000 GMT+0530,1.26100,1.26117,1.26030,1.26074,0.050489100000000085
20.10.2006 21:35:00.000 GMT+0530,1.26072,1.26101,1.26044,1.26072,0.06337960000000012
20.10.2006 21:40:00.000 GMT+0530,1.26053,1.26097,1.26017,1.26083,0.04014570000000002
20.10.2006 21:45:00.000 GMT+0530,1.26063,1.26099,1.26035,1.26048,0.03813399999999996
20.10.2006 21:50:00.000 GMT+0530,1.26057,1.26099,1.26021,1.26070,0.04681860000000003
20.10.2006 21:55:00.000 GMT+0530,1.26081,1.26104,1.26050,1.26090,0.04019369999999998
20.10.2006 22:00:00.000 GMT+0530,1.26078,1.26110,1.26044,1.26058,0.03659599999999997
20.10.2006 22:05:00.000 GMT+0530,1.26073,1.26107,1.26047,1.26094,0.027162299999999986
20.10.2006 22:10:00.000 GMT+0530,1.26121,1.26129,1.26072,1.26113,0.028233199999999986
20.10.2006 22:15:00.000 GMT+0530,1.26120,1.26172,1.26103,1.26150,0.015807500000000002
20.10.2006 22:20:00.000 GMT+0530,1.26159,1.26168,1.26096,1.26154,0.02645939999999998
20.10.2006 22:25:00.000 GMT+0530,1.26117,1.26168,1.26103,1.26136,0.02725629999999995
